gnl|CDD|400190	RVT_2	pfam07727	Reverse transcriptase (RNA-dependent DNA polymerase).  A reverse transcriptase gene is usually indicative of a mobile element such as a retrotransposon or retrovirus. Reverse transcriptases occur in a variety of mobile elements
gnl|CDD|260004	RNase_HI_RT_Ty1	cd09272	Ty1/Copia family of RNase HI in long-term repeat retroelements.  Ribonuclease H (RNase H) enzymes are divided into two major families
gnl|CDD|411202	transpos_IS481	NF033577	IS481 family transposase.
gnl|CDD|372857	gag_pre-integrs	pfam13976	GAG-pre-integrase domain.  This domain is found associated with retroviral insertion elements and lies just upstream of the integrase region on the polyproteins.
gnl|CDD|404992	Retrotran_gag_2	pfam14223	gag-polypeptide of LTR copia-type.  This family is found in Plants and fungi
gnl|CDD|395538	rve	pfam00665	Integrase core domain.  Integrase mediates integration of a DNA copy of the viral genome into the host chromosome. Integrase is composed of three domains. The amino-terminal domain is a zinc binding domain pfam02022. This domain is the central catalytic domain. The carboxyl terminal domain that is a non-specific DNA binding domain pfam00552. The catalytic domain acts as an endonuclease when two nucleotides are removed from the 3' ends of the blunt-ended viral DNA made by reverse transcription. This domain also catalyzes the DNA strand transfer reaction of the 3' ends of the viral DNA to the 5' ends of the integration site.
gnl|CDD|411153	transpos_IS3	NF033516	IS3 family transposase.
gnl|CDD|259998	RNase_H_like	cd06222	Ribonuclease H-like superfamily
gnl|CDD|404787	DUF4219	pfam13961	Domain of unknown function (DUF4219).  This domain is very short and is found at the N-terminal of many Gag-pol polyprotein and related proteins. There is a highly conserved YxxWxxxM sequence motif.
gnl|CDD|260008	Rnase_HI_RT_non_LTR	cd09276	non-LTR RNase HI domain of reverse transcriptases.  Ribonuclease H (RNase H) is classified into two families
gnl|CDD|404555	rve_3	pfam13683	Integrase core domain.
gnl|CDD|223021	PHA03247	PHA03247	large tegument protein UL36; Provisional.
gnl|CDD|282904	Herpes_BLLF1	pfam05109	Herpes virus major outer envelope glycoprotein (BLLF1).  This family consists of the BLLF1 viral late glycoprotein
gnl|CDD|405008	Retrotran_gag_3	pfam14244	gag-polypeptide of LTR copia-type.  This family is found in Plants and fungi
gnl|CDD|225361	Tra5	COG2801	Transposase and inactivated derivatives [DNA replication
gnl|CDD|411384	Streccoc_I_II	NF033804	antigen I/II family LPXTG-anchored adhesin.  Members of the antigen I/II family are adhesins with a glucan-binding domain
gnl|CDD|165527	PHA03269	PHA03269	envelope glycoprotein C; Provisional.
gnl|CDD|237171	PRK12678	PRK12678	transcription termination factor Rho; Provisional.
gnl|CDD|411193	transpos_IS30	NF033563	IS30 family transposase.
gnl|CDD|222853	PHA02517	PHA02517	putative transposase OrfB; Reviewed.
gnl|CDD|215530	PLN02980	PLN02980	2-oxoglutarate decarboxylase/ hydro-lyase/ magnesium ion binding  / thiamin pyrophosphate binding.
gnl|CDD|395050	zf-CCHC	pfam00098	Zinc knuckle.  The zinc knuckle is a zinc binding motif composed of the the following CX2CX4HX4C where X can be any amino acid. The motifs are mostly from retroviral gag proteins (nucleocapsid). Prototype structure is from HIV. Also contains members involved in eukaryotic gene regulation
gnl|CDD|197667	ZnF_C2HC	smart00343	zinc finger.
gnl|CDD|173561	PTZ00368	PTZ00368	universal minicircle sequence binding protein (UMSBP); Provisional.
gnl|CDD|367628	Retrotrans_gag	pfam03732	Retrotransposon gag protein.  Gag or Capsid-like proteins from LTR retrotransposons. There is a central motif QGXXEXXXXXFXXLXXH that is common to Retroviridae gag-proteins
gnl|CDD|227414	AIR1	COG5082	Arginine methyltransferase-interacting protein
gnl|CDD|225382	Tra8	COG2826	Transposase and inactivated derivatives
gnl|CDD|404356	RVT_3	pfam13456	Reverse transcriptase-like.  This domain is found in plants and appears to be part of a retrotransposon.
gnl|CDD|236090	PRK07764	PRK07764	DNA polymerase III subunits gamma and tau; Validated.
gnl|CDD|237865	PRK14951	PRK14951	DNA polymerase III subunits gamma and tau; Provisional.
gnl|CDD|237057	PRK12323	PRK12323	DNA polymerase III subunit gamma/tau.
gnl|CDD|411490	pneumo_PspA	NF033930	pneumococcal surface protein A.  The pneumococcal surface protein proteins
gnl|CDD|237030	kgd	PRK12270	multifunctional oxoglutarate decarboxylase/oxoglutarate dehydrogenase thiamine pyrophosphate-binding subunit/dihydrolipoyllysine-residue succinyltransferase subunit.
gnl|CDD|223065	PHA03378	PHA03378	EBNA-3B; Provisional.
gnl|CDD|237874	PRK14971	PRK14971	DNA polymerase III subunit gamma/tau.
gnl|CDD|411414	MSCRAMM_ClfB	NF033845	MSCRAMM family adhesin clumping factor ClfB.  Clumping factor B is an MSCRAMM (Microbial Surface Components Recognizing Adhesive Matrix Molecules). Features of the sequence
gnl|CDD|411345	gliding_GltJ	NF033761	adventurous gliding motility protein GltJ.  Adventurous gliding motility protein GltJ
gnl|CDD|185628	PTZ00449	PTZ00449	104 kDa microneme/rhoptry antigen; Provisional.
gnl|CDD|236776	PRK10856	PRK10856	cytoskeleton protein RodZ.
gnl|CDD|411344	gliding_GltG	NF033760	adventurous gliding motility protein GltG.  GltG proteins
gnl|CDD|235906	PRK07003	PRK07003	DNA polymerase III subunit gamma/tau.
gnl|CDD|411407	PspC_subgroup_1	NF033838	pneumococcal surface protein PspC
gnl|CDD|236940	PRK11633	PRK11633	cell division protein DedD; Provisional.
gnl|CDD|223039	PHA03307	PHA03307	transcriptional regulator ICP4; Provisional.
gnl|CDD|237864	PRK14950	PRK14950	DNA polymerase III subunits gamma and tau; Provisional.
gnl|CDD|236138	PRK07994	PRK07994	DNA polymerase III subunits gamma and tau; Validated.
gnl|CDD|235124	PRK03427	PRK03427	cell division protein ZipA; Provisional.
gnl|CDD|411474	fibronec_FbpA	NF033913	LPXTG-anchored fibronectin-binding protein FbpA.  FbpA
gnl|CDD|397323	Atrophin-1	pfam03154	Atrophin-1 family.  Atrophin-1 is the protein product of the dentatorubral-pallidoluysian atrophy (DRPLA) gene. DRPLA OMIM:125370 is a progressive neurodegenerative disorder. It is caused by the expansion of a CAG repeat in the DRPLA gene on chromosome 12p. This results in an extended polyglutamine region in atrophin-1
gnl|CDD|184918	PRK14954	PRK14954	DNA polymerase III subunits gamma and tau; Provisional.
gnl|CDD|236669	PRK10263	PRK10263	DNA translocase FtsK; Provisional.
gnl|CDD|237605	dnaA	PRK14086	chromosomal replication initiator protein DnaA.
gnl|CDD|235904	flhF	PRK06995	flagellar biosynthesis protein FlhF.
gnl|CDD|240289	PTZ00144	PTZ00144	dihydrolipoamide succinyltransferase; Provisional.
gnl|CDD|395031	RVT_1	pfam00078	Reverse transcriptase (RNA-dependent DNA polymerase).  A reverse transcriptase gene is usually indicative of a mobile element such as a retrotransposon or retrovirus. Reverse transcriptases occur in a variety of mobile elements
gnl|CDD|173412	PTZ00121	PTZ00121	MAEBL; Provisional.
gnl|CDD|411181	transpos_IS21	NF033546	IS21 family transposase.
gnl|CDD|224117	Smc	COG1196	Chromosome segregation ATPases [Cell division and chromosome partitioning].
gnl|CDD|237871	PRK14965	PRK14965	DNA polymerase III subunits gamma and tau; Provisional.
gnl|CDD|236766	rne	PRK10811	ribonuclease E; Reviewed.
gnl|CDD|234938	PRK01297	PRK01297	ATP-dependent RNA helicase RhlB; Provisional.
gnl|CDD|239684	RT_DIRS1	cd03714	RT_DIRS1: Reverse transcriptases (RTs) occurring in the DIRS1 group of retransposons. Members of the subfamily include the Dictyostelium DIRS-1
gnl|CDD|271180	INT_Cre_C	cd00799	C-terminal catalytic domain of Cre recombinase (also called integrase).  Cre-like recombinases are tyrosine based site specific recombinases. They belong to the superfamily of DNA breaking-rejoining enzymes
gnl|CDD|260007	RNase_HI_RT_DIRS1	cd09275	DIRS1 family of RNase HI in long-term repeat retroelements.  Ribonuclease H (RNase H) enzymes are divided into two major families
gnl|CDD|238825	RT_LTR	cd01647	RT_LTR: Reverse transcriptases (RTs) from retrotransposons and retroviruses which have long terminal repeats (LTRs) in their DNA copies but not in their RNA template. RT catalyzes DNA replication from an RNA template
gnl|CDD|239685	RT_ZFREV_like	cd03715	RT_ZFREV_like: A subfamily of reverse transcriptases (RTs) found in sequences similar to the intact endogenous retrovirus ZFERV from zebrafish and to Moloney murine leukemia virus RT.  An RT gene is usually indicative of a mobile element such as a retrotransposon or retrovirus. RTs occur in a variety of mobile elements
gnl|CDD|271175	DNA_BRE_C	cd00397	DNA breaking-rejoining enzymes
gnl|CDD|238822	RT_pepA17	cd01644	RT_pepA17: Reverse transcriptase (RTs) in retrotransposons. This subfamily represents the RT domain of a multifunctional enzyme. C-terminal to the RT domain is a domain homologous to aspartic proteinases (corresponding to Merops family A17) encoded by retrotransposons and retroviruses. RT catalyzes DNA replication from an RNA template and is responsible for the replication of retroelements.
